AGT_CHANNEL,AGT_STATUS,AGT_CD
AGENCY,INFORCE,434
AGENCY,TERMINATED,435
AGENCY,INFORCE,436
AGENCY,INFORCE,437
BANCA,INFORCE,438
AGENCY,TERMINATED,439
AGENCY,INFORCE,440
BANCA,INFORCE,441
AGENCY,INFORCE,442
AGENCY,TERMINATED,443
AGENCY,INFORCE,444
AGENCY,INFORCE,445
AGENCY,TERMINATED,446
AGENCY,TERMINATED,447
AGENCY,TERMINATED,448
AGENCY,INFORCE,449
AGENCY,INFORCE,450
BANCA,INFORCE,451
AGENCY,INFORCE,452
AGENCY,INFORCE,453
AGENCY,INFORCE,454
AGENCY,TERMINATED,455
AGENCY,TERMINATED,456
AGENCY,INFORCE,457
AGENCY,TERMINATED,458
AGENCY,TERMINATED,459
AGENCY,INFORCE,460
AGENCY,TERMINATED,461
AGENCY,INFORCE,462
AGENCY,TERMINATED,463
AGENCY,TERMINATED,464
AGENCY,SUSPENDED,465
AGENCY,INFORCE,466
AGENCY,INFORCE,467
AGENCY,TERMINATED,468
AGENCY,INFORCE,469
AGENCY,INFORCE,470
BANCA,TERMINATED,471
AGENCY,TERMINATED,472
AGENCY,TERMINATED,473
AGENCY,TERMINATED,474
AGENCY,TERMINATED,475
AGENCY,INFORCE,476
AGENCY,INFORCE,477
AGENCY,INFORCE,478
AGENCY,TERMINATED,479
AGENCY,INFORCE,480
AGENCY,INFORCE,481
AGENCY,TERMINATED,482
AGENCY,INFORCE,483
AGENCY,INFORCE,484
AGENCY,INFORCE,485
AGENCY,INFORCE,486
AGENCY,INFORCE,487
AGENCY,INFORCE,488
AGENCY,INFORCE,489
BANCA,INFORCE,490
AGENCY,TERMINATED,491
AGENCY,INFORCE,492
AGENCY,INFORCE,493
IFA,INFORCE,494
AGENCY,TERMINATED,495
AGENCY,INFORCE,496
AGENCY,INFORCE,497
BANCA,INFORCE,498
AGENCY,TERMINATED,499
AGENCY,INFORCE,500
AGENCY,TERMINATED,501
AGENCY,INFORCE,502
AGENCY,INFORCE,503
AGENCY,TERMINATED,504
AGENCY,INFORCE,505
AGENCY,INFORCE,506
AGENCY,INFORCE,507
AGENCY,INFORCE,508
AGENCY,TERMINATED,509
AGENCY,INFORCE,510
AGENCY,INFORCE,511
AGENCY,INFORCE,512
AGENCY,INFORCE,513
BANCA,INFORCE,514
BANCA,INFORCE,515
